# release: ITU-R-P.676-13
# generated by contrib/thz-ntn/tools/p676-lut-gen.py
# model: ITU-R P.676-13 Annex 1 line-by-line (44 O2 + 35 H2O lines)
# columns: freq_ghz, alt_km, attenuation_db_per_km
freq_ghz,alt_km,attenuation_db_per_km
230.000,7.00,0.065533
230.000,8.00,0.033586
230.000,9.00,0.017380
230.000,10.00,0.004452
230.000,11.00,0.002775
230.000,12.00,0.001767
230.000,13.00,0.001147
230.000,14.00,0.000756
230.000,15.00,0.000505
230.000,16.00,0.000340
230.000,17.00,0.000231
230.000,18.00,0.000158
230.000,19.00,0.000108
230.000,20.00,0.000092
230.000,21.00,0.000059
230.000,22.00,0.000039
230.000,23.00,0.000026
230.000,24.00,0.000018
230.000,25.00,0.000012
230.000,26.00,0.000008
230.000,27.00,0.000006
230.000,28.00,0.000004
230.000,29.00,0.000003
230.000,30.00,0.000002
240.000,0.00,2.819831
240.000,1.00,1.367538
240.000,2.00,1.330936
240.000,3.00,0.652913
240.000,4.00,0.323576
240.000,5.00,0.276247
240.000,6.00,0.139141
240.000,7.00,0.070669
240.000,8.00,0.036205
240.000,9.00,0.018728
240.000,10.00,0.004761
240.000,11.00,0.002964
240.000,12.00,0.001886
240.000,13.00,0.001222
240.000,14.00,0.000805
240.000,15.00,0.000537
240.000,16.00,0.000362
240.000,17.00,0.000246
240.000,18.00,0.000168
240.000,19.00,0.000115
240.000,20.00,0.000098
240.000,21.00,0.000063
240.000,22.00,0.000042
240.000,23.00,0.000028
240.000,24.00,0.000019
240.000,25.00,0.000013
240.000,26.00,0.000009
240.000,27.00,0.000006
240.000,28.00,0.000004
240.000,29.00,0.000003
240.000,30.00,0.000002
250.000,0.00,3.071168
250.000,1.00,1.489292
250.000,2.00,1.449338
250.000,3.00,0.710913
250.000,4.00,0.352271
250.000,5.00,0.300659
250.000,6.00,0.151397
250.000,7.00,0.076867
250.000,8.00,0.039362
250.000,9.00,0.020349
250.000,10.00,0.005109
250.000,11.00,0.003175
250.000,12.00,0.002017
250.000,13.00,0.001306
250.000,14.00,0.000859
250.000,15.00,0.000573
250.000,16.00,0.000386
250.000,17.00,0.000262
250.000,18.00,0.000179
250.000,19.00,0.000123
250.000,20.00,0.000105
250.000,21.00,0.000068
250.000,22.00,0.000045
250.000,23.00,0.000030
250.000,24.00,0.000020
250.000,25.00,0.000014
250.000,26.00,0.000009
250.000,27.00,0.000006
250.000,28.00,0.000004
250.000,29.00,0.000003
250.000,30.00,0.000002
260.000,0.00,3.361516
260.000,1.00,1.630393
260.000,2.00,1.585948
260.000,3.00,0.777994
260.000,4.00,0.385513
260.000,5.00,0.328775
260.000,6.00,0.165519
260.000,7.00,0.084009
260.000,8.00,0.042999
260.000,9.00,0.022214
260.000,10.00,0.005493
260.000,11.00,0.003406
260.000,12.00,0.002160
260.000,13.00,0.001396
260.000,14.00,0.000917
260.000,15.00,0.000611
260.000,16.00,0.000411
260.000,17.00,0.000279
260.000,18.00,0.000190
260.000,19.00,0.000131
260.000,20.00,0.000112
260.000,21.00,0.000073
260.000,22.00,0.000048
260.000,23.00,0.000032
260.000,24.00,0.000021
260.000,25.00,0.000014
260.000,26.00,0.000010
260.000,27.00,0.000007
260.000,28.00,0.000005
260.000,29.00,0.000003
260.000,30.00,0.000002
270.000,0.00,3.694337
270.000,1.00,1.792568
270.000,2.00,1.742266
270.000,3.00,0.854905
270.000,4.00,0.423681
270.000,5.00,0.360863
270.000,6.00,0.181644
270.000,7.00,0.092163
270.000,8.00,0.047148
270.000,9.00,0.024340
270.000,10.00,0.005912
270.000,11.00,0.003658
270.000,12.00,0.002314
270.000,13.00,0.001493
270.000,14.00,0.000980
270.000,15.00,0.000652
270.000,16.00,0.000438
270.000,17.00,0.000297
270.000,18.00,0.000203
270.000,19.00,0.000139
270.000,20.00,0.000121
270.000,21.00,0.000078
270.000,22.00,0.000051
270.000,23.00,0.000034
270.000,24.00,0.000023
270.000,25.00,0.000015
270.000,26.00,0.000011
270.000,27.00,0.000007
270.000,28.00,0.000005
270.000,29.00,0.000003
270.000,30.00,0.000002
280.000,0.00,4.081633
280.000,1.00,1.981836
280.000,2.00,1.923668
280.000,3.00,0.944350
280.000,4.00,0.468133
280.000,5.00,0.397940
280.000,6.00,0.200284
280.000,7.00,0.101588
280.000,8.00,0.051941
280.000,9.00,0.026792
280.000,10.00,0.006374
280.000,11.00,0.003933
280.000,12.00,0.002482
280.000,13.00,0.001598
280.000,14.00,0.001047
280.000,15.00,0.000695
280.000,16.00,0.000467
280.000,17.00,0.000316
280.000,18.00,0.000216
280.000,19.00,0.000148
280.000,20.00,0.000130
280.000,21.00,0.000083
280.000,22.00,0.000055
280.000,23.00,0.000036
280.000,24.00,0.000024
280.000,25.00,0.000016
280.000,26.00,0.000011
280.000,27.00,0.000008
280.000,28.00,0.000005
280.000,29.00,0.000004
280.000,30.00,0.000003
290.000,0.00,4.553737
290.000,1.00,2.213453
290.000,2.00,2.143760
290.000,3.00,1.053184
290.000,4.00,0.522328
290.000,5.00,0.442589
290.000,6.00,0.222745
290.000,7.00,0.112944
290.000,8.00,0.057712
290.000,9.00,0.029741
290.000,10.00,0.006892
290.000,11.00,0.004238
290.000,12.00,0.002667
290.000,13.00,0.001713
290.000,14.00,0.001119
290.000,15.00,0.000742
290.000,16.00,0.000498
290.000,17.00,0.000337
290.000,18.00,0.000229
290.000,19.00,0.000157
290.000,20.00,0.000139
290.000,21.00,0.000089
290.000,22.00,0.000058
290.000,23.00,0.000039
290.000,24.00,0.000026
290.000,25.00,0.000018
290.000,26.00,0.000012
290.000,27.00,0.000008
290.000,28.00,0.000006
290.000,29.00,0.000004
290.000,30.00,0.000003
300.000,0.00,5.203123
300.000,1.00,2.534162
300.000,2.00,2.444064
300.000,3.00,1.202392
300.000,4.00,0.596871
300.000,5.00,0.502666
300.000,6.00,0.253003
300.000,7.00,0.128244
300.000,8.00,0.065478
300.000,9.00,0.033700
300.000,10.00,0.007510
300.000,11.00,0.004597
300.000,12.00,0.002880
300.000,13.00,0.001843
300.000,14.00,0.001201
300.000,15.00,0.000794
300.000,16.00,0.000531
300.000,17.00,0.000359
300.000,18.00,0.000244
300.000,19.00,0.000167
300.000,20.00,0.000151
300.000,21.00,0.000097
300.000,22.00,0.000063
300.000,23.00,0.000041
300.000,24.00,0.000028
300.000,25.00,0.000019
300.000,26.00,0.000013
300.000,27.00,0.000009
300.000,28.00,0.000006
300.000,29.00,0.000004
300.000,30.00,0.000003
310.000,0.00,6.474815
310.000,1.00,3.171976
310.000,2.00,3.026362
310.000,3.00,1.494855
310.000,4.00,0.744063
310.000,5.00,0.616573
310.000,6.00,0.310577
310.000,7.00,0.157391
310.000,8.00,0.080260
310.000,9.00,0.041213
310.000,10.00,0.008437
310.000,11.00,0.005115
310.000,12.00,0.003177
310.000,13.00,0.002016
310.000,14.00,0.001305
310.000,15.00,0.000858
310.000,16.00,0.000572
310.000,17.00,0.000385
310.000,18.00,0.000261
310.000,19.00,0.000178
310.000,20.00,0.000168
310.000,21.00,0.000106
310.000,22.00,0.000069
310.000,23.00,0.000045
310.000,24.00,0.000030
310.000,25.00,0.000020
310.000,26.00,0.000014
310.000,27.00,0.000009
310.000,28.00,0.000006
310.000,29.00,0.000004
310.000,30.00,0.000003
320.000,0.00,14.642243
320.000,1.00,7.741697
320.000,2.00,7.077397
320.000,3.00,3.704558
320.000,4.00,1.933285
320.000,5.00,1.460543
320.000,6.00,0.758011
320.000,7.00,0.392471
320.000,8.00,0.202849
320.000,9.00,0.104739
320.000,10.00,0.013580
320.000,11.00,0.007802
320.000,12.00,0.004584
320.000,13.00,0.002759
320.000,14.00,0.001699
320.000,15.00,0.001071
320.000,16.00,0.000688
320.000,17.00,0.000450
320.000,18.00,0.000298
320.000,19.00,0.000200
320.000,20.00,0.000270
320.000,21.00,0.000159
320.000,22.00,0.000096
320.000,23.00,0.000060
320.000,24.00,0.000038
320.000,25.00,0.000024
320.000,26.00,0.000016
320.000,27.00,0.000011
320.000,28.00,0.000007
320.000,29.00,0.000005
320.000,30.00,0.000003
330.000,0.00,16.020427
330.000,1.00,8.393713
330.000,2.00,7.763169
330.000,3.00,4.025660
330.000,4.00,2.076008
330.000,5.00,1.611409
330.000,6.00,0.829791
330.000,7.00,0.426025
330.000,8.00,0.218389
330.000,9.00,0.111936
330.000,10.00,0.014980
330.000,11.00,0.008561
330.000,12.00,0.005005
330.000,13.00,0.002998
330.000,14.00,0.001840
330.000,15.00,0.001155
330.000,16.00,0.000740
330.000,17.00,0.000483
330.000,18.00,0.000319
330.000,19.00,0.000214
330.000,20.00,0.000286
330.000,21.00,0.000169
330.000,22.00,0.000102
330.000,23.00,0.000063
330.000,24.00,0.000040
330.000,25.00,0.000026
330.000,26.00,0.000017
330.000,27.00,0.000011
330.000,28.00,0.000008
330.000,29.00,0.000005
330.000,30.00,0.000004
340.000,0.00,9.182690
340.000,1.00,4.513386
340.000,2.00,4.286951
340.000,3.00,2.122757
340.000,4.00,1.058323
340.000,5.00,0.871280
340.000,6.00,0.438984
340.000,7.00,0.222347
340.000,8.00,0.113233
340.000,9.00,0.058014
340.000,10.00,0.010995
340.000,11.00,0.006589
340.000,12.00,0.004047
340.000,13.00,0.002544
340.000,14.00,0.001632
340.000,15.00,0.001066
340.000,16.00,0.000706
340.000,17.00,0.000473
340.000,18.00,0.000320
340.000,19.00,0.000218
340.000,20.00,0.000216
340.000,21.00,0.000135
340.000,22.00,0.000086
340.000,23.00,0.000056
340.000,24.00,0.000037
340.000,25.00,0.000025
340.000,26.00,0.000017
340.000,27.00,0.000011
340.000,28.00,0.000008
340.000,29.00,0.000005
340.000,30.00,0.000004
350.000,0.00,10.072021
350.000,1.00,4.946712
350.000,2.00,4.706810
350.000,3.00,2.329867
350.000,4.00,1.161322
350.000,5.00,0.959216
350.000,6.00,0.483232
350.000,7.00,0.244741
350.000,8.00,0.124632
350.000,9.00,0.063853
350.000,10.00,0.012138
350.000,11.00,0.007271
350.000,12.00,0.004464
350.000,13.00,0.002805
350.000,14.00,0.001799
350.000,15.00,0.001175
350.000,16.00,0.000778
350.000,17.00,0.000521
350.000,18.00,0.000353
350.000,19.00,0.000240
350.000,20.00,0.000238
350.000,21.00,0.000149
350.000,22.00,0.000095
350.000,23.00,0.000062
350.000,24.00,0.000041
350.000,25.00,0.000027
350.000,26.00,0.000018
350.000,27.00,0.000013
350.000,28.00,0.000009
350.000,29.00,0.000006
350.000,30.00,0.000004
360.000,0.00,13.826162
360.000,1.00,6.836069
360.000,2.00,6.446853
360.000,3.00,3.207161
360.000,4.00,1.604410
360.000,5.00,1.308309
360.000,6.00,0.660527
360.000,7.00,0.335002
360.000,8.00,0.170728
360.000,9.00,0.087489
360.000,10.00,0.016130
360.000,11.00,0.009653
360.000,12.00,0.005922
360.000,13.00,0.003718
360.000,14.00,0.002383
360.000,15.00,0.001554
360.000,16.00,0.001029
360.000,17.00,0.000689
360.000,18.00,0.000466
360.000,19.00,0.000317
360.000,20.00,0.000318
360.000,21.00,0.000198
360.000,22.00,0.000126
360.000,23.00,0.000082
360.000,24.00,0.000054
360.000,25.00,0.000036
360.000,26.00,0.000024
360.000,27.00,0.000017
360.000,28.00,0.000011
360.000,29.00,0.000008
360.000,30.00,0.000005
370.000,0.00,31.413040
370.000,1.00,15.964050
370.000,2.00,14.818706
370.000,3.00,7.539472
370.000,4.00,3.847588
370.000,5.00,3.084765
370.000,6.00,1.597274
370.000,7.00,0.833986
370.000,8.00,0.440161
370.000,9.00,0.235460
370.000,10.00,0.083441
370.000,11.00,0.055984
370.000,12.00,0.037901
370.000,13.00,0.025830
370.000,14.00,0.017691
370.000,15.00,0.012162
370.000,16.00,0.008384
370.000,17.00,0.005792
370.000,18.00,0.004007
370.000,19.00,0.002776
370.000,20.00,0.002074
370.000,21.00,0.001390
370.000,22.00,0.000940
370.000,23.00,0.000641
370.000,24.00,0.000439
370.000,25.00,0.000302
370.000,26.00,0.000208
370.000,27.00,0.000144
370.000,28.00,0.000100
370.000,29.00,0.000069
370.000,30.00,0.000048
380.000,0.00,301.001262
380.000,1.00,218.535926
380.000,2.00,211.566215
380.000,3.00,153.466601
380.000,4.00,111.225049
380.000,5.00,81.587788
380.000,6.00,58.945824
380.000,7.00,42.498820
380.000,8.00,30.539632
380.000,9.00,21.839464
380.000,10.00,1.899848
380.000,11.00,1.349163
380.000,12.00,0.949598
380.000,13.00,0.660276
380.000,14.00,0.451768
380.000,15.00,0.302822
380.000,16.00,0.197959
380.000,17.00,0.125703
380.000,18.00,0.077326
380.000,19.00,0.046043
380.000,20.00,0.352027
380.000,21.00,0.201517
380.000,22.00,0.112209
380.000,23.00,0.061040
380.000,24.00,0.032587
380.000,25.00,0.017147
380.000,26.00,0.008925
380.000,27.00,0.004609
380.000,28.00,0.002367
380.000,29.00,0.001211
380.000,30.00,0.000618
390.000,0.00,37.685129
390.000,1.00,19.144540
390.000,2.00,17.722271
390.000,3.00,8.985112
390.000,4.00,4.557177
390.000,5.00,3.585888
390.000,6.00,1.822716
390.000,7.00,0.927460
390.000,8.00,0.472781
390.000,9.00,0.241656
390.000,10.00,0.030050
390.000,11.00,0.016749
390.000,12.00,0.009544
390.000,13.00,0.005571
390.000,14.00,0.003334
390.000,15.00,0.002045
390.000,16.00,0.001283
390.000,17.00,0.000822
390.000,18.00,0.000536
390.000,19.00,0.000354
390.000,20.00,0.000599
390.000,21.00,0.000346
390.000,22.00,0.000204
390.000,23.00,0.000122
390.000,24.00,0.000075
390.000,25.00,0.000047
390.000,26.00,0.000030
390.000,27.00,0.000020
390.000,28.00,0.000013
390.000,29.00,0.000009
390.000,30.00,0.000006
400.000,0.00,19.471782
400.000,1.00,9.640372
400.000,2.00,9.085954
400.000,3.00,4.524387
400.000,4.00,2.264497
400.000,5.00,1.845704
400.000,6.00,0.931462
400.000,7.00,0.471962
400.000,8.00,0.240145
400.000,9.00,0.122774
400.000,10.00,0.021039
400.000,11.00,0.012408
400.000,12.00,0.007505
400.000,13.00,0.004650
400.000,14.00,0.002946
400.000,15.00,0.001903
400.000,16.00,0.001250
400.000,17.00,0.000832
400.000,18.00,0.000559
400.000,19.00,0.000379
400.000,20.00,0.000404
400.000,21.00,0.000249
400.000,22.00,0.000157
400.000,23.00,0.000101
400.000,24.00,0.000066
400.000,25.00,0.000044
400.000,26.00,0.000029
400.000,27.00,0.000020
400.000,28.00,0.000014
400.000,29.00,0.000009
400.000,30.00,0.000006
410.000,0.00,17.455610
410.000,1.00,8.608811
410.000,2.00,8.174366
410.000,3.00,4.061783
410.000,4.00,2.031450
410.000,5.00,1.680091
410.000,6.00,0.849607
410.000,7.00,0.432109
410.000,8.00,0.221142
410.000,9.00,0.113992
410.000,10.00,0.024905
410.000,11.00,0.015276
410.000,12.00,0.009589
410.000,13.00,0.006145
410.000,14.00,0.004008
410.000,15.00,0.002653
410.000,16.00,0.001777
410.000,17.00,0.001201
410.000,18.00,0.000818
410.000,19.00,0.000560
410.000,20.00,0.000507
410.000,21.00,0.000324
410.000,22.00,0.000210
410.000,23.00,0.000139
410.000,24.00,0.000093
410.000,25.00,0.000063
410.000,26.00,0.000043
410.000,27.00,0.000029
410.000,28.00,0.000020
410.000,29.00,0.000014
410.000,30.00,0.000010
420.000,0.00,19.437172
420.000,1.00,9.666010
420.000,2.00,9.188650
420.000,3.00,4.622283
420.000,4.00,2.349822
420.000,5.00,1.998076
420.000,6.00,1.043310
420.000,7.00,0.553077
420.000,8.00,0.298359
420.000,9.00,0.164209
420.000,10.00,0.088081
420.000,11.00,0.059182
420.000,12.00,0.040102
420.000,13.00,0.027350
420.000,14.00,0.018746
420.000,15.00,0.012896
420.000,16.00,0.008896
420.000,17.00,0.006149
420.000,18.00,0.004257
420.000,19.00,0.002950
420.000,20.00,0.002083
420.000,21.00,0.001417
420.000,22.00,0.000969
420.000,23.00,0.000666
420.000,24.00,0.000459
420.000,25.00,0.000317
420.000,26.00,0.000219
420.000,27.00,0.000152
420.000,28.00,0.000105
420.000,29.00,0.000073
420.000,30.00,0.000051
430.000,0.00,26.281224
430.000,1.00,13.110298
430.000,2.00,12.247789
430.000,3.00,6.158426
430.000,4.00,3.119943
430.000,5.00,2.562486
430.000,6.00,1.323909
